,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0003323554992675781,0.0,0.6428571428571429,0.6783625730994153,1,rbf,"{'kernel': 'rbf', 'C': 1}",2,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666666,0.7368421052631579,0.00047002165459349024,0.0,0.03194382824999699,0.04376207469911043
1,0.0,0.0,0.6071428571428571,0.6432748538011696,1,linear,"{'kernel': 'linear', 'C': 1}",9,0.6,0.6666666666666666,0.5555555555555556,0.631578947368421,0.6666666666666666,0.631578947368421,0.0,0.0,0.044860580193849434,0.016540509501439708
2,0.000987688700358073,0.0,0.42857142857142855,0.8762183235867447,1,poly,"{'kernel': 'poly', 'C': 1}",16,0.4,0.9444444444444444,0.4444444444444444,0.7894736842105263,0.4444444444444444,0.8947368421052632,0.0008027393249896517,0.0,0.021295885499997974,0.06460745972388518
3,0.0006647904713948568,0.00033275286356608075,0.6428571428571429,0.6432748538011696,1,sigmoid,"{'kernel': 'sigmoid', 'C': 1}",2,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666666,0.631578947368421,0.00047007786046845593,0.00047058361257363543,0.03194382824999699,0.016540509501439708
4,0.001007080078125,0.0,0.6785714285714286,0.7865497076023392,3,rbf,"{'kernel': 'rbf', 'C': 3}",1,0.6,0.8333333333333334,0.7777777777777778,0.7368421052631579,0.6666666666666666,0.7894736842105263,1.606570936002025e-05,0.0,0.07357874828744022,0.039446601062082025
5,0.000996987024943034,0.0,0.5,0.6959064327485379,3,linear,"{'kernel': 'linear', 'C': 3}",11,0.6,0.6666666666666666,0.3333333333333333,0.7368421052631579,0.5555555555555556,0.6842105263157895,4.052336624139774e-07,0.0,0.1161553420728616,0.02981882756487008
6,0.004320065180460612,0.0003356138865152995,0.42857142857142855,0.8937621832358674,3,poly,"{'kernel': 'poly', 'C': 3}",16,0.4,0.9444444444444444,0.5555555555555556,0.7894736842105263,0.3333333333333333,0.9473684210526315,0.00476837719413639,0.0004746297100306813,0.09159706696033974,0.07375276574032207
7,0.0,0.0,0.6428571428571429,0.6432748538011696,3,sigmoid,"{'kernel': 'sigmoid', 'C': 3}",2,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666666,0.631578947368421,0.0,0.0,0.03194382824999699,0.016540509501439708
8,0.0003323554992675781,0.0006648699442545573,0.6428571428571429,0.8040935672514621,5,rbf,"{'kernel': 'rbf', 'C': 5}",2,0.6,0.8333333333333334,0.6666666666666666,0.7894736842105263,0.6666666666666666,0.7894736842105263,0.00047002165459349024,0.00047094601444164344,0.03194382824999699,0.020675636876799647
9,0.0006648699442545573,0.0,0.5,0.6959064327485379,5,linear,"{'kernel': 'linear', 'C': 5}",11,0.6,0.6666666666666666,0.3333333333333333,0.7368421052631579,0.5555555555555556,0.6842105263157895,0.0004701340461895193,0.0,0.1161553420728616,0.02981882756487008
10,0.01895904541015625,0.0006556510925292969,0.35714285714285715,0.9113060428849903,5,poly,"{'kernel': 'poly', 'C': 5}",18,0.2,0.9444444444444444,0.5555555555555556,0.8421052631578947,0.3333333333333333,0.9473684210526315,0.021400506997136078,0.00046376244109748286,0.14715749657488042,0.048946898750447256
11,0.0003325939178466797,0.0,0.6428571428571429,0.6432748538011696,5,sigmoid,"{'kernel': 'sigmoid', 'C': 5}",2,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666666,0.631578947368421,0.0004703588293815774,0.0,0.03194382824999699,0.016540509501439708
12,0.0,0.0006651878356933594,0.5357142857142857,0.8226120857699805,7,rbf,"{'kernel': 'rbf', 'C': 7}",10,0.5,0.8888888888888888,0.5555555555555556,0.7894736842105263,0.5555555555555556,0.7894736842105263,0.0,0.00047038203223555465,0.026619856874997506,0.04686477692074581
13,0.0009971459706624348,0.0,0.5,0.6959064327485379,7,linear,"{'kernel': 'linear', 'C': 7}",11,0.6,0.6666666666666666,0.3333333333333333,0.7368421052631579,0.5555555555555556,0.6842105263157895,2.3581621038000245e-05,0.0,0.1161553420728616,0.02981882756487008
14,0.030907471974690754,0.00034228960673014325,0.35714285714285715,0.9113060428849903,7,poly,"{'kernel': 'poly', 'C': 7}",18,0.2,0.9444444444444444,0.5555555555555556,0.8421052631578947,0.3333333333333333,0.9473684210526315,0.03550050729779964,0.0004840706040971216,0.14715749657488042,0.048946898750447256
15,0.0,0.0003323554992675781,0.6428571428571429,0.6432748538011696,7,sigmoid,"{'kernel': 'sigmoid', 'C': 7}",2,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666666,0.631578947368421,0.0,0.00047002165459349024,0.03194382824999699,0.016540509501439708
16,0.0009973843892415364,0.0,0.4642857142857143,0.8586744639376218,10,rbf,"{'kernel': 'rbf', 'C': 10}",15,0.5,0.9444444444444444,0.5555555555555556,0.7894736842105263,0.3333333333333333,0.8421052631578947,2.9736021254650284e-07,0.0,0.09297916280841256,0.0643422512440507
17,0.0010091463724772136,0.0,0.5,0.6959064327485379,10,linear,"{'kernel': 'linear', 'C': 10}",11,0.6,0.6666666666666666,0.3333333333333333,0.7368421052631579,0.5555555555555556,0.6842105263157895,1.6580331886959488e-05,0.0,0.1161553420728616,0.02981882756487008
18,0.04653008778889974,0.0,0.35714285714285715,0.9113060428849903,10,poly,"{'kernel': 'poly', 'C': 10}",18,0.2,0.9444444444444444,0.5555555555555556,0.8421052631578947,0.3333333333333333,0.9473684210526315,0.047878916888109864,0.0,0.14715749657488042,0.048946898750447256
19,0.0,0.0006744066874186198,0.6428571428571429,0.6432748538011696,10,sigmoid,"{'kernel': 'sigmoid', 'C': 10}",2,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666666,0.631578947368421,0.0,0.0004770205595388357,0.03194382824999699,0.016540509501439708
